Comune,Distance_from_epicenter
Ripatransone,49.253032663021436
Trecastelli,89.98909660382526
Massa Fermana,39.133784656996276
Monsampietro Morico,36.49010955314086
Servigliano,32.68685388222953
Montappone,36.63740726364926
Amandola,18.427902627010845
Petritoli,44.1925055592417
Sant'Elpidio a Mare,58.35407160849956
Santa Vittoria in Matenano,29.905054810008938
Orciano di Pesaro,93.17757071229555
Monteciccardo,107.34438733542213
Montefano,62.24539797527353
Mombaroccio,106.39112485608432
San Lorenzo in Campo,83.8050166334727
Pesaro,115.00801678334949
Saltara,99.80143136145406
Montecassiano,57.64416446575771
Monte Cavallo,20.17025998251144
Tavullia,117.25377170657248
Spinetoli,47.980926266774055
Pietrarubbia,121.06896095647703
Piandimeleto,115.25805230162327
Piobbico,95.41035637371145
Mondavio,89.51496723069103
Monte Grimano Terme,124.36498822357535
Castelsantangelo sul Nera,0.0
Montecalvo in Foglia,112.29273680022422
Sassoferrato,69.1291416957693
Roccafluvione,21.262799963631203
Rotella,30.92726980439154
San Benedetto del Tronto,56.969095047812516
Falconara Marittima,84.0497412278185
Sant'Angelo in Vado,106.98192016390773
Venarotta,26.204570737823968
Offida,43.700824143512435
Fabriano,55.13509663975477
Lunano,114.17759156124379
Acqualagna,94.92829672965976
Cantiano,79.51580122817023
Frontone,79.0343770843929
Auditore,117.97064419537367
Carpegna,120.93211367573119
Frontino,118.8814754060018
Barchi,91.3494793687339
Macerata Feltria,119.40388822101391
Mercatino Conca,121.95189342780742
Montalto delle Marche,38.232994056073764
Palmiano,23.593656648094605
Montefiore dell'Aso,49.98422000265543
Massignano,54.83782068493761
Monsampolo del Tronto,50.02090063783437
Grottammare,55.63399090744681
Maltignano,39.522813073203935
Montemonaco,9.273138404820429
Montegallo,12.948853525355005
Monteprandone,53.72108934651295
Montedinove,34.12592421542217
Gabicce Mare,124.64017458682103
Borgo Pace,113.34979260677616
Fossombrone,92.74666536806006
Fratte Rosa,87.46244474956434
Cagli,87.37880427279023
Isola del Piano,100.3441605441689
Cartoceto,102.36888428223409
San Costanzo,97.8550970328768
Mercatello sul Metauro,108.56922501809628
Gradara,121.76232150813033
Apecchio,97.59591589436917
Fermignano,97.26545474552809
Belforte all'Isauro,113.86251054471008
Montelupone,59.924578072910286
Polverigi,73.12556876429872
Gualdo,25.278174030463244
Castelleone di Suasa,82.678723046133
Monsano,76.98577692090055
Apiro,56.2810837697693
Senigallia,89.33298786684166
Appignano,56.609822305504345
Belforte del Chienti,32.174654358410464
Castelfidardo,72.12504170483072
Bolognola,12.225790021955165
Fiordimonte,17.467369631050623
Montecarotto,74.19155013583526
Chiaravalle,81.90640659218349
Offagna,75.41375043612435
Castelraimondo,37.665921526751
Rosora,68.32140164113318
Staffolo,62.3469766454165
Poggio San Marcello,71.39845630908714
Ostra Vetere,81.03777470252852
Fiastra,19.46720481652803
Loro Piceno,37.24808050731808
Serra San Quirico,63.41646839838469
Monte Roberto,67.32255495094746
Morro d'Alba,81.45819857983048
Corinaldo,86.34620958532297
Gagliole,41.33836960126647
Esanatoglia,45.75694595308141
Corridonia,49.03858386608825
Fiuminata,39.48707454081099
Sirolo,78.91420754839075
Cerreto d'Esi,51.32557645511766
Acquacanina,14.633191969260436
Camerino,29.895716876520392
Camporotondo di Fiastrone,29.400502155441835
Cupramontana,63.74610294497287
Osimo,71.10660715622255
Macerata,52.116519855378364
Castelplanio,70.10333376695685
Monte San Vito,80.91161728061681
Numana,76.37900120270602
Caldarola,27.60971223640681
Ostra,81.63420842173723
Genga,64.08735236718788
Montemarciano,85.48377146706576
Mondolfo,97.14664570931204
Serrungarina,100.3299210746265
Castelbellino,68.71141007982737
Serra Sant'Abbondio,76.0547322894436
Camerano,77.86141167548813
Camerata Picena,79.64319886257023
Peglio,107.05228798854256
Belvedere Ostrense,76.85215452097319
Jesi,71.25753009261493
Loreto,71.29720360260472
San Paolo di Jesi,65.04991926655582
Montelabbate,112.00472254613183
Santa Maria Nuova,68.71091976878388
San Giorgio di Pesaro,94.66508265710402
Agugliano,76.62649380880883
Mergo,67.3870959300898
Urbino,105.86642361945596
Civitanova Marche,63.323313239271535
Sassocorvaro,114.79123130625952
Pergola,81.81888896796852
San Marcello,76.09135178545976
Montefelcino,101.8215608596322
Arcevia,74.33915566357582
Barbara,79.3810148905058
Monte Cerignone,123.01297863673133
Montemaggiore al Metauro,97.82470848289267
Monte Porzio,92.17635880282702
Cessapalombo,23.996235454579537
Sant'Ippolito,92.61544747820632
Montecopiolo,125.67669910545247
Petriano,107.26976776916874
Sassofeltrio,125.99644597057818
Piagge,97.44095758523099
Filottrano,63.79657368101835
Tavoleto,118.7276668385952
Serra de' Conti,75.05914975876416
Cingoli,56.29656084489289
Recanati,64.69197811838089
Acquasanta Terme,15.157389385989967
Force,27.181348430570228
Visso,12.3649744058026
San Severino Marche,43.37759055213169
Matelica,45.56402159170819
Colmurano,35.30587687045182
Mogliano,42.38467081580002
Ripe San Ginesio,33.24993055537169
San Ginesio,27.086387232185526
Monte San Giusto,51.46441680086884
Maiolati Spontini,68.79864620341097
Monte San Martino,25.994504985119054
Urbania,101.1784486946253
Ancona,81.18931927891327
Appignano del Tronto,38.934128105975695
Sant'Angelo in Pontano,30.839454321180202
Acquaviva Picena,51.096912085351654
Pioraco,37.07475311307322
Muccia,24.949339841656435
Tolentino,38.163618620151325
Arquata del Tronto,8.119069048270967
Cossignano,42.56966549722106
Sefro,33.857571131571916
Cupra Marittima,55.9702333171423
Pievebovigliana,22.86185601409201
Montecosaro,59.958001444274885
Treia,49.80249910964764
Urbisaglia,40.10129395737745
Folignano,35.87319014269187
Penna San Giovanni,28.107315132808782
Comunanza,19.564668102185035
Castignano,36.702165996277635
Poggio San Vicino,54.80431873816522
Serravalle di Chienti,26.544577005934354
Castorano,45.012445789014514
Colli del Tronto,45.30325220591729
Serrapetrona,32.88337357212696
Potenza Picena,66.36753576440226
Pollenza,44.92014968710534
Morrovalle,56.71663141637974
Ussita,7.2568747550130155
Sarnano,18.02259958167271
Porto Recanati,72.52881080066892
Castel di Lama,42.41391082707331
Petriolo,44.165014720923566
Pieve Torina,19.35008093141268
Ascoli Piceno,31.658230920815704
Carassai,43.119531261405015
Fano,104.95224327975313
Montefortino,11.977453029201538
Ponzano di Fermo,46.40259283924827
Rapagnano,46.5466832667563
Fermo,53.65130756160224
Porto San Giorgio,59.3852672580296
Smerillo,24.566308279357173
Vallefoglia,111.51384064006548
Montottone,39.161250117144725
Campofilone,56.01503119028636
Falerone,33.698056504149655
Ortezzano,38.64037611510417
Porto Sant'Elpidio,62.03404292478108
Altidona,57.0592567568374
Francavilla d'Ete,45.31530291967968
Grottazzolina,43.174705202920386
Belmonte Piceno,37.65779957843103
Magliano di Tenna,43.809897358943246
Pedaso,58.20496095574547
Montegranaro,53.99364553337479
Monteleone di Fermo,34.69992474790235
Lapedona,54.55091377993494
Monterubbiano,49.45772010164729
Monte Giberto,43.10811308594607
Torre San Patrizio,49.35552424781817
Monte San Pietrangeli,47.49522877319652
Monte Urano,53.3322677645819
Montegiorgio,40.805475194606345
Monte Vidon Combatte,40.87730529038008
Monte Vidon Corrado,36.5573296653892
Moresco,51.238952084752334
Montelparo,33.266345816188
Monte Rinaldo,36.62722860407689
Montefalcone Appennino,25.373928207891428
Tuoro sul Trasimeno,97.3482589293266
Polino,31.181973065995884
Narni,58.85609653189034
Gualdo Tadino,52.1234010441816
Guardea,68.52003028181181
Lugnano in Teverina,70.3315711510708
Monte Santa Maria Tiberina,104.97887795084091
Sigillo,62.16706309322428
Castel Giorgio,93.56471713159135
Castel Viscardo,90.31268556099138
Spello,44.30838728643791
Umbertide,85.35465478127128
San Venanzo,72.351777738771
Baschi,68.73720869055931
Calvi dell'Umbria,63.109819462519724
Costacciaro,66.94996181799984
Porano,84.86105805188171
San Gemini,51.80741020706089
Attigliano,74.01062983105288
Citerna,110.5532927594204
Acquasparta,47.48881821939034
Allerona,94.16387205370027
Città di Castello,98.45106641687244
Collazzone,58.4428551928753
Cerreto di Spoleto,16.772220149945063
Città della Pieve,93.52204209778355
Poggiodomo,17.647880685825395
Vallo di Nera,20.893056546415146
Valtopina,40.114811327585855
Cannara,51.93672672302393
Castel Ritaldi,37.78039126985082
Bevagna,47.651464172983424
Campello sul Clitunno,25.519897394356057
Castiglione del Lago,96.67561998752092
Bettona,56.64725478478226
Cascia,11.857922128886505
Assisi,50.82356329076564
Paciano,90.82683611207845
Bastia Umbra,56.995693655732936
Spoleto,34.27035310332072
Alviano,72.2954574643321
Preci,11.108157371110996
Norcia,0.0
Passignano sul Trasimeno,89.10136907332746
Montecastrilli,55.30482513847514
Magione,83.62972539201934
Terni,44.224646802943035
Piegaro,81.83672757576805
Sellano,22.3495096703147
Scheggino,25.8032145853195
Panicale,85.46276591340362
Sant'Anatolia di Narco,22.811577602475797
Gualdo Cattaneo,51.41212151655228
Ficulle,85.96570920297408
Giove,71.93260890712155
Avigliano Umbro,59.7848314444689
Fossato di Vico,58.10784579868166
Perugia,70.11711740238195
Scheggia e Pascelupo,71.31779152401201
San Giustino,108.331897285591
Fratta Todina,63.191262554135726
Giano dell'Umbria,44.85905869450081
Gubbio,72.05864157820784
Pietralunga,89.12021225076832
Valfabbrica,55.73739970863922
Fabro,91.97156657339414
Montecchio,68.58205422451664
Lisciano Niccone,92.28667723643635
Montegabbione,82.88526696920283
Monteleone d'Orvieto,89.0104332625623
Montefranco,36.472558201128884
Arrone,35.99000799343892
Stroncone,50.79570493241388
Amelia,63.967963952578295
Ferentillo,30.120831225614637
Montefalco,40.117918255399275
Massa Martana,48.10313252972322
Monte Castello di Vibio,63.6941123746421
Monteleone di Spoleto,21.546346457322336
Todi,58.03865625307234
Otricoli,63.32992502967158
Parrano,80.97654663139029
Foligno,33.64710512002033
Montone,86.91905590097933
Penna in Teverina,70.18613854906062
Torgiano,61.62642116513647
Marsciano,69.21481678084012
Corciano,77.63904327218611
Nocera Umbra,41.44707365283215
Trevi,31.716126947437132
Orvieto,79.45670020030208
Deruta,61.56367646619557
Tufillo,142.84634508686952
Vacri,92.58403944978379
Torano Nuovo,45.68351505990058
Alba Adriatica,55.97242428369662
Ancarano,44.14746920625383
Arsita,50.071260871185956
Barete,27.482680480221422
Barisciano,47.57758563343442
Balsorano,103.46688002849629
Bellante,46.51141205250341
Notaresco,52.631235932492736
Penna Sant'Andrea,44.40651337610617
Castelli,45.81309763310626
Colledara,39.56933048340609
Colonnella,54.8414678800544
Basciano,41.94245349145636
Castiglione Messer Raimondo,54.6709234731415
Bisenti,49.482725089407836
Nereto,48.33094851670733
Controguerra,49.69450126963594
Corropoli,51.870910307827415
Morro d'Oro,56.59204137407431
Ateleta,119.1817409901239
Avezzano,75.05329028834518
Mosciano Sant'Angelo,52.82874933019935
Castilenti,59.756201679741906
Cellino Attanasio,51.52784466224649
Barrea,119.51764957984045
Bisegna,97.19086456993857
San Demetrio ne' Vestini,52.44265546933318
Castelvecchio Subequo,76.01005462626364
Capestrano,65.09879887016075
Capistrello,80.69130646718214
Capitignano,19.79706827139539
Trasacco,86.2985622731339
Cerchio,78.16031089850216
Civita d'Antino,91.97483158222514
Scafa,78.3714126844192
Villalago,96.98961567822823
Serramonacesca,86.4410332661688
Villa Santa Lucia degli Abruzzi,59.77697036892642
Villa Sant'Angelo,53.44485073540735
Tagliacozzo,70.01223618187387
Tornimparte,45.67450749813582
Lucoli,50.532906740650624
Montazzoli,127.4541004502896
Monteferrante,126.21539352244734
Sulmona,90.1124348257939
Chieti,84.0683124963999
Loreto Aprutino,67.63621037560824
Montelapiano,120.52307405695352
Ortona,100.71338084939528
Massa d'Albe,65.52351850996124
Molina Aterno,73.41295996607295
Luco dei Marsi,84.5280364206311
Castel di Sangro,124.62685140313955
Scurcola Marsicana,71.49536528360251
Secinaro,68.33549694749873
